teamId,name,role,battingStyle,bowlingStyle,isAbroadPlayer,photoUrl
brk,Sandeep Lamichhane,bowler,Right-hand bat,Right-arm legbreak,false,
brk,Dipendra Airee,allrounder,Right-hand bat,Right-arm medium,false,
brk,Kushal Bhurtel,batter,Right-hand bat,,false,
chr,Kushal Malla,allrounder,Left-hand bat,Right-arm offbreak,false,
chr,Ravi Bopara,allrounder,Right-hand bat,Right-arm medium,true,
chr,Sharad Vesawkar,batter,Right-hand bat,,false,
jnb,Anil Sah,wicketkeeper,Right-hand bat,,false,
jnb,Lalit Rajbanshi,bowler,Right-hand bat,Left-arm orthodox,false,
jnb,Kishore Mahato,batter,Right-hand bat,,false,
kry,Sompal Kami,allrounder,Right-hand bat,Right-arm fast,false,
kry,Bipin Khatri,batter,Right-hand bat,,false,
kry,Nandan Yadav,allrounder,Right-hand bat,Right-arm medium,false,
ktg,Karan KC,bowler,Right-hand bat,Right-arm fast,false,
ktg,Bhim Sharki,batter,Right-hand bat,,false,
ktg,Shahab Alam,allrounder,Right-hand bat,Right-arm medium,false,
lml,Rohit Paudel,batter,Right-hand bat,,false,
lml,Arjun Saud,batter,Left-hand bat,,false,
lml,Sunil Dhamala,allrounder,Right-hand bat,Right-arm offbreak,false,
pka,Andries Gous,wicketkeeper,Right-hand bat,,true,
pka,Raymon Reifer,allrounder,Left-hand bat,Left-arm fast medium,true,
pka,Bipin Rawal,batter,Right-hand bat,,false,
spr,Ishan Pandey,bowler,Right-hand bat,Right-arm fast,false,
spr,Naresh Budhayer,batter,Right-hand bat,,false,
spr,Abinash Bohara,bowler,Right-hand bat,Right-arm fast,false,

